id:string,tipo:string,velocidad:int,lat:float,lon:float,autonomia:int,delay:int,tasa_extincion:int,costo:int
0,BOMBEROS,63,-35.908571705499156,-71.27790267780281,6.0,2,136,1554
1,BOMBEROS,58,-37.89445584408604,-70.80257996650612,6.0,3,163,1494
2,BOMBEROS,52,-33.62126458748524,-70.72302007657856,7.0,3,155,1462
3,HELICOPTERO,206,-32.93999274406653,-70.4255981339979,1.0,1,195,3023
4,HELICOPTERO,188,-33.138560892825446,-71.23706666549957,1.0,1,207,3071
5,BOMBEROS,53,-36.5914270293149,-71.29647802794535,6.0,3,153,1354
6,BOMBEROS,64,-37.44737604752435,-71.81049453112308,7.0,3,145,1583
7,BRIGADA,91,-37.79886351925083,-70.45904044310247,4.0,3,194,1869
8,BRIGADA,89,-35.045990942076486,-70.9879657043945,7.0,3,178,1762
9,BOMBEROS,67,-37.64008092421322,-71.20539832000165,6.0,3,156,1417
10,BOMBEROS,56,-36.39703615779394,-70.88190370103985,5.0,3,132,1459
11,AVION,353,-36.666000782128144,-71.23682747378844,2.0,1,531,4884
12,HELICOPTERO,169,-32.86986387435755,-70.51892497275878,0.0,1,204,3137
13,BOMBEROS,54,-36.699991722299465,-71.78852341219248,5.0,3,137,1600
14,AVION,319,-33.193693227544514,-71.19767741858205,2.0,1,434,4979
15,BOMBEROS,54,-35.5829716781153,-70.49609343456235,7.0,3,163,1537
16,BRIGADA,97,-36.160635215809044,-70.91629982092302,6.0,4,156,1899
17,HELICOPTERO,263,-35.03737682453807,-71.89765853842181,0.0,1,218,2988
18,BOMBEROS,60,-33.61714942656223,-71.11308591646025,6.0,3,152,1570
19,BOMBEROS,64,-36.95380181473991,-71.58439149209103,6.0,3,145,1531
20,HELICOPTERO,171,-37.76116838013837,-71.08650006341875,0.0,1,212,2970
21,BRIGADA,108,-32.664880052715276,-70.45143324346493,7.0,3,191,1840
22,BOMBEROS,66,-33.296276676210454,-71.5845900683687,6.0,3,143,1494
23,BOMBEROS,59,-34.40826779069475,-70.2882093721604,6.0,5,135,1419
24,BOMBEROS,61,-37.1020077101521,-71.8070253316357,5.0,3,132,1556
25,BOMBEROS,54,-35.669525200959065,-71.27628328252113,5.0,3,153,1487
26,BOMBEROS,62,-34.94259865070354,-70.66050396312278,6.0,4,170,1671
27,BRIGADA,91,-33.38821965859183,-71.48492132817161,6.0,3,169,1973
28,BOMBEROS,56,-37.25525914936164,-70.97131135041364,6.0,2,140,1578
29,BOMBEROS,53,-36.25735597403369,-71.04473797948172,5.0,3,148,1463
30,BRIGADA,104,-36.23383476343951,-70.79158397447041,5.0,3,178,1840
31,HELICOPTERO,170,-34.76828036437557,-70.62965636978448,1.0,1,222,3135
32,BRIGADA,115,-33.71018888982577,-70.36440413209692,6.0,4,201,2129
33,BRIGADA,112,-37.55751723507218,-70.91480476701955,6.0,3,192,1865
34,BOMBEROS,69,-34.7476624425133,-71.68469952512268,7.0,3,153,1441
35,BRIGADA,122,-35.26758643933081,-70.61553870722179,5.0,3,177,2014
36,BOMBEROS,56,-33.06963193932137,-70.6917035149692,8.0,3,159,1425
37,BRIGADA,108,-37.31095935964187,-70.54354097463357,5.0,3,173,1926
38,BOMBEROS,69,-33.26462690653897,-71.13938412133247,5.0,3,149,1650
39,BOMBEROS,63,-34.22907367455678,-71.06151367439304,8.0,4,162,1595
40,BRIGADA,91,-33.88691910229588,-71.20106181333043,6.0,3,189,1952
41,AVION,272,-36.45928837985658,-70.37571821543462,2.0,1,464,4946
42,BRIGADA,94,-37.553053751219096,-70.73264817959739,7.0,3,183,2052
43,BOMBEROS,74,-33.3013497978068,-70.30612850469768,6.0,3,157,1348
44,BOMBEROS,57,-33.89811480501941,-71.76004462133407,7.0,4,155,1366
45,BOMBEROS,66,-35.545491359446864,-70.6652199656023,6.0,3,129,1318
46,BOMBEROS,62,-32.72625443137013,-70.18824004974313,5.0,4,144,1376
47,BOMBEROS,59,-35.199928329478546,-71.7093316256498,7.0,2,143,1591
48,BOMBEROS,61,-35.25748687757085,-70.99846876732796,5.0,4,150,1648
49,BOMBEROS,49,-36.31651478380638,-70.76683984287732,6.0,3,136,1434
50,BOMBEROS,58,-33.46708541732707,-70.4821869199851,5.0,2,151,1491
51,HELICOPTERO,103,-34.73283130856825,-70.2822076944604,0.0,1,197,2944
52,BRIGADA,91,-35.93381503850942,-70.65132948596613,4.0,3,184,2073
53,BRIGADA,95,-35.33055017647134,-71.14726731538524,6.0,3,175,2033
54,BRIGADA,108,-34.638077110400914,-71.46243883074261,6.0,3,183,2008
55,BOMBEROS,61,-32.98571689743321,-71.25020520183486,5.0,3,148,1490
56,BOMBEROS,55,-33.97801249418193,-70.71566905744622,5.0,2,150,1409
57,BRIGADA,85,-33.78699573999115,-71.47054670472734,6.0,2,188,1991
58,HELICOPTERO,175,-33.06912013084583,-70.17796428488053,0.0,1,189,2926
59,HELICOPTERO,132,-34.36925900953748,-71.60419874562862,0.0,1,207,2972
60,BOMBEROS,62,-32.70905742758055,-70.74790917503742,8.0,3,150,1555
61,HELICOPTERO,120,-34.47440533362132,-70.23211426142208,1.0,1,200,2874
62,HELICOPTERO,236,-32.82726565409895,-70.4329991716638,0.0,1,199,2949
63,BOMBEROS,60,-32.678224773393104,-71.59214917847348,4.0,3,160,1596
64,BRIGADA,101,-33.08970446639361,-71.8362702824132,4.0,3,176,1877
65,BOMBEROS,64,-35.6827227430922,-71.17322041060046,5.0,3,140,1439
66,BOMBEROS,69,-36.52296713273237,-71.21030298675406,8.0,3,141,1464
67,BOMBEROS,55,-34.60988159326613,-71.74659659267688,6.0,3,146,1424
68,BOMBEROS,59,-35.78631534877501,-71.50884671698165,7.0,2,144,1577
69,HELICOPTERO,266,-36.35704286535897,-71.33312312127401,1.0,1,209,3135
70,BRIGADA,110,-37.17763894798183,-70.63706385019162,4.0,2,189,2146
71,BOMBEROS,62,-33.747104590399616,-71.9983716817093,5.0,3,140,1577
72,BRIGADA,87,-34.35325815976843,-71.14812376823258,4.0,3,192,1999
73,BRIGADA,82,-33.44445123584686,-70.86308931639718,5.0,3,169,2015
74,HELICOPTERO,161,-35.3119491799365,-71.04518330132557,1.0,1,210,2949
75,BRIGADA,89,-34.03668570976782,-71.12399956230473,3.0,3,179,2074
76,BRIGADA,98,-34.72219154691958,-71.86120341620634,4.0,2,181,1940
77,BOMBEROS,62,-34.36946489977878,-70.2311531546583,5.0,3,157,1591
78,BRIGADA,96,-33.4512532546701,-70.44410935853521,5.0,3,155,2070
79,HELICOPTERO,127,-33.28022603943828,-70.91069656572435,0.0,1,204,2969
80,AVION,834,-36.59715368563134,-71.33786671750411,2.0,1,993,10029
81,AVION,242,-34.875909451542555,-70.40192427203564,2.0,1,559,5048
82,BRIGADA,100,-35.88677613308848,-70.90063166026829,4.0,3,183,2021
83,BRIGADA,88,-36.25152000890237,-70.39142202807537,5.0,3,189,1978
84,BOMBEROS,54,-36.811037164669294,-71.75938001724771,5.0,3,164,1415
85,BOMBEROS,57,-35.52109870741687,-70.89163270254117,7.0,3,147,1391
86,BOMBEROS,63,-34.84084652197598,-71.28196211640198,6.0,3,151,1478
87,HELICOPTERO,260,-37.87153487590505,-71.8982376409745,1.0,1,208,2896
88,BRIGADA,90,-36.884436023001044,-70.41152672404306,7.0,3,181,2045
89,HELICOPTERO,213,-35.308933028017435,-70.12296166947822,1.0,1,213,3109
90,BRIGADA,90,-36.16655881930907,-70.93115542456556,3.0,4,179,1864
91,HELICOPTERO,181,-32.675226769464125,-70.98467117784686,1.0,1,196,3017
92,BOMBEROS,58,-35.65133224876193,-71.85085519361064,5.0,3,147,1529
93,BOMBEROS,59,-37.283890131522,-71.58490898540965,6.0,3,141,1385
94,BRIGADA,98,-34.755149690824055,-70.64868141556055,4.0,3,191,2034
95,BRIGADA,96,-33.81128273748342,-70.45759873431675,6.0,4,193,2075
96,BOMBEROS,54,-36.426081435983214,-71.90253572470124,6.0,3,153,1496
97,BOMBEROS,78,-33.30482831991474,-71.73445378548855,5.0,3,152,1451
98,BRIGADA,113,-35.51043579642015,-71.51738970385144,4.0,3,174,1947
99,BOMBEROS,61,-35.119108599807284,-70.2724402616559,7.0,3,155,1560
100,BOMBEROS,65,-34.1716969248769,-70.31013086259851,7.0,3,148,1558
101,HELICOPTERO,131,-37.58229738773916,-71.29119693586684,0.0,1,199,2832
102,BOMBEROS,63,-33.22699349615563,-71.28510925869656,4.0,3,155,1486
103,BOMBEROS,59,-37.23478325101394,-70.63773450271,6.0,3,133,1702
104,BRIGADA,127,-33.51852620177499,-71.32593923376069,4.0,3,180,1843
105,BOMBEROS,58,-35.414631675784705,-71.31886330489124,6.0,3,146,1480
106,BOMBEROS,55,-34.07189863988716,-71.95038562272764,5.0,3,138,1415
107,BRIGADA,114,-37.53309409576027,-71.78887960092777,5.0,3,177,2070
108,BOMBEROS,72,-34.603000347175616,-71.91906506368129,6.0,3,159,1438
109,BOMBEROS,65,-36.19265164996488,-71.97210293930388,7.0,2,148,1487
110,BOMBEROS,58,-35.23408395443167,-71.91601913197447,6.0,3,127,1415
111,HELICOPTERO,266,-36.16021007142274,-70.3023374949262,1.0,1,203,3210
112,AVION,858,-33.564680519659575,-70.29281196773411,2.0,1,1005,9909
113,BRIGADA,86,-36.247658371053994,-70.69560339044303,5.0,3,177,2042
114,BOMBEROS,63,-37.667125801440704,-71.94474634160652,5.0,3,167,1549
115,BOMBEROS,53,-33.766143263030486,-70.18032991790326,5.0,3,150,1574
116,BOMBEROS,59,-37.80693422436701,-70.6954229731944,5.0,4,139,1557
117,BRIGADA,101,-34.86426212307828,-70.73132028778639,6.0,3,175,2179
118,BOMBEROS,62,-37.589755316246325,-70.32900859913107,6.0,2,174,1564
119,BOMBEROS,54,-35.98034895492482,-71.1687251898748,6.0,4,174,1561
120,BRIGADA,107,-33.70633632824276,-71.81151172428754,6.0,3,167,2056
121,AVION,349,-34.19919397162702,-70.12182195994379,2.0,1,534,5020
122,AVION,263,-36.255749545548255,-71.73523300033618,2.0,1,439,5139
123,AVION,381,-35.19616864074271,-71.94607400989503,2.0,1,515,5163
124,BRIGADA,101,-36.92897378206332,-70.7548336601916,4.0,3,169,2173
125,BOMBEROS,67,-35.656555246550845,-70.1046451696074,7.0,3,145,1586
126,AVION,339,-34.626788387596214,-70.94316327940483,2.0,1,497,4900
127,BRIGADA,108,-34.60077320585994,-70.20484624943118,5.0,3,164,1914
128,BOMBEROS,57,-34.08970848285508,-71.1678224919405,6.0,3,160,1469
129,BRIGADA,90,-34.75071248353037,-71.50141776050886,7.0,3,173,2000
130,BOMBEROS,55,-37.25474747702908,-70.71365944933001,4.0,2,153,1456
131,BOMBEROS,57,-34.268934524089666,-71.13820438369909,6.0,2,154,1495
132,BOMBEROS,69,-34.864703780582694,-70.16811028170834,7.0,4,148,1620
133,BRIGADA,100,-35.93531881858104,-70.46191380893026,4.0,3,186,1982
134,HELICOPTERO,239,-36.47212781574745,-70.15490818908079,0.0,1,183,2900
135,BOMBEROS,60,-35.05715465457512,-71.68198649570758,7.0,3,150,1538
136,AVION,399,-35.44346750544237,-70.63318859255983,2.0,1,462,5022
137,HELICOPTERO,115,-36.31830485410418,-71.70622312586896,1.0,1,229,3178
138,BOMBEROS,56,-36.56726289832403,-70.90716829398144,5.0,2,160,1514
139,BOMBEROS,63,-34.12602449072282,-70.30652861865809,5.0,4,138,1524
140,BOMBEROS,64,-34.88374960005118,-71.4404164651449,5.0,2,155,1425
141,HELICOPTERO,213,-34.1272901966007,-71.03366117818398,0.0,1,220,3054
142,BOMBEROS,62,-34.397888055524774,-71.45299595027184,7.0,3,168,1375
143,HELICOPTERO,210,-35.93191761888663,-71.44311870473592,1.0,1,191,3231
144,BRIGADA,104,-36.87888147019661,-71.04472030542007,5.0,3,182,1843
145,BOMBEROS,59,-33.455585288773676,-71.24416046774438,5.0,2,160,1478
146,HELICOPTERO,197,-34.59578009516247,-71.1477488655131,1.0,1,199,2998
147,HELICOPTERO,220,-32.801063631217616,-71.47196014492991,1.0,1,179,2995
148,BRIGADA,131,-33.699427418922795,-70.62129566665108,4.0,4,173,1825
149,HELICOPTERO,224,-34.18711568743007,-71.18098018216718,0.0,1,194,2935
150,AVION,289,-35.55113512644606,-71.63800607692433,2.0,1,496,4978
151,BOMBEROS,62,-34.855996001490105,-70.51587484492818,7.0,3,149,1545
152,BOMBEROS,54,-32.64762636282252,-71.40925609823637,5.0,3,154,1485
153,BRIGADA,114,-34.80982136700506,-71.04947405236098,4.0,3,163,1942
154,BOMBEROS,62,-34.10387858889901,-71.94565880380783,6.0,4,133,1569
155,BRIGADA,101,-33.03159389449621,-70.50448940051156,5.0,4,180,1877
156,AVION,299,-35.7888645310989,-70.32102948338665,2.0,1,474,4994
157,BRIGADA,94,-35.13817321858754,-71.42727377491838,7.0,3,182,2039
158,BOMBEROS,54,-36.072257491402674,-70.13306153281619,5.0,4,143,1470
159,BRIGADA,104,-37.405678908694284,-70.5386202494778,4.0,3,170,1946
160,BOMBEROS,61,-36.139661050176436,-70.95942717322835,8.0,4,142,1595
161,BOMBEROS,53,-35.10108981367416,-71.04436684016912,5.0,2,151,1464
162,BRIGADA,91,-36.264456327282296,-70.37437393839743,5.0,3,183,1891
163,BOMBEROS,63,-37.70888733701754,-71.07545090267597,6.0,3,142,1540
164,BOMBEROS,68,-32.67953321265937,-70.25703791951256,8.0,4,143,1529
165,BOMBEROS,61,-37.78843591180552,-70.12848157267857,7.0,4,138,1157
166,HELICOPTERO,233,-36.45548643085784,-70.10094962451828,1.0,1,193,3119
167,BOMBEROS,67,-37.614980167125225,-70.62410938246649,7.0,3,161,1450
168,BOMBEROS,55,-35.13509248060093,-70.66435572672214,6.0,3,154,1396
169,BOMBEROS,59,-33.832418183686904,-71.3259590274649,5.0,3,144,1492
170,BRIGADA,125,-36.49892902331336,-70.68265910639772,5.0,4,169,1970
171,HELICOPTERO,150,-35.70267307420795,-71.97896679320314,0.0,1,216,3083
172,AVION,277,-36.40502213859073,-71.10618697702462,2.0,1,504,4787
173,HELICOPTERO,159,-35.16952547487526,-71.55449832594046,1.0,1,204,2749
174,HELICOPTERO,156,-34.9494329186272,-70.46841816074614,1.0,1,186,2914
175,HELICOPTERO,214,-36.555810452060356,-70.6830240693808,0.0,1,200,3039
176,BOMBEROS,64,-34.12255909915355,-71.88086490259583,4.0,4,143,1406
177,BRIGADA,91,-33.77811122655879,-70.63416516219054,4.0,3,173,2023
178,BOMBEROS,62,-35.60772856369001,-71.52775402823582,7.0,3,147,1587
179,BOMBEROS,61,-35.310814664949014,-71.13381686799633,8.0,3,148,1536
180,BOMBEROS,51,-35.11897309528086,-71.23754245682538,5.0,3,160,1580
181,AVION,774,-35.40996628409193,-70.5027419417563,2.0,1,997,9930
182,AVION,276,-33.24223458392538,-71.36318472582765,2.0,1,520,5035
183,AVION,386,-35.21998735559575,-70.29076082192255,2.0,1,503,5155
184,BOMBEROS,52,-33.03076970211788,-71.4457753269007,5.0,2,169,1446
185,HELICOPTERO,206,-34.99088262890258,-70.5528603317227,1.0,1,194,3077
186,BOMBEROS,62,-35.817229096658124,-70.25445239057858,5.0,2,153,1385
187,BOMBEROS,55,-33.60090922070701,-70.22735804374186,6.0,4,157,1492
188,BOMBEROS,59,-37.59052807045312,-70.72355972236105,7.0,3,149,1490
189,BRIGADA,92,-34.188855902236696,-70.60873181536736,5.0,3,171,2124
190,BRIGADA,101,-37.17476431623578,-71.21640637362356,5.0,3,181,1742
191,BRIGADA,106,-34.49055322667011,-70.3142812275682,6.0,3,183,1930
192,AVION,341,-34.34325334188975,-71.87815382186591,2.0,1,531,5013
193,HELICOPTERO,225,-35.92205160628659,-71.28729251332355,0.0,1,198,2977
194,BOMBEROS,62,-37.1685107178276,-71.28902262172126,5.0,4,150,1605
195,BOMBEROS,66,-35.56359767000965,-70.74648129744693,6.0,3,158,1318
196,BRIGADA,97,-37.068879822667284,-70.53210637812496,4.0,2,186,2113
197,AVION,875,-35.23941787986101,-70.97598161656842,2.0,1,995,9870
198,BRIGADA,100,-35.722417038450196,-70.17318799667804,5.0,3,200,2096
199,BOMBEROS,51,-33.72690952343675,-71.11534159869697,6.0,3,158,1406
200,AVION,,2.0,2.0,2.0,2,2,2
201,BOMBERO,1,2.3,3.2,1.0,1,2,1
